promotion_id,retailer_id,product_id,promotion_type,start_date,end_date,regular_price,promotional_price,discount_percentage,display_type,marketing_spend
PROMO-000092,RTL-AMZ,P00007,Display Only,2025-01-19,2025-02-01,2.26,2.03,10.0,Front of Store,3196.87
PROMO-000093,RTL-AMZ,P00007,Display Only,2025-01-11,2025-01-17,2.26,1.81,20.0,Digital Banner,1869.34
PROMO-000094,RTL-AMZ,P00008,Temporary Price Reduction,2025-01-12,2025-01-25,1.53,1.15,25.0,End Cap,3166.6
PROMO-000095,RTL-AMZ,P00008,Display Only,2025-01-26,2025-02-22,1.53,1.15,25.0,Front of Store,5774.56
PROMO-000096,RTL-AMZ,P00009,Feature Ad,2025-01-16,2025-02-12,2.54,1.91,25.0,Digital Banner,3545.08
PROMO-000097,RTL-AMZ,P00009,Digital Coupon,2025-01-02,2025-01-08,2.54,2.29,10.0,End Cap,227.39
PROMO-000098,RTL-AMZ,P00009,Feature + Display,2025-02-13,2025-02-19,2.54,1.78,30.0,Digital Banner,1860.73
PROMO-000099,RTL-AMZ,P00010,Digital Coupon,2025-01-15,2025-02-04,4.19,3.56,15.0,Aisle Display,1948.47
PROMO-000100,RTL-AMZ,P00010,Feature + Display,2025-01-01,2025-01-07,4.19,3.35,20.0,None,141.18
PROMO-000101,RTL-AMZ,P00011,Temporary Price Reduction,2025-02-08,2025-02-21,6.37,5.1,20.0,Digital Banner,2687.93
PROMO-000102,RTL-AMZ,P00011,Temporary Price Reduction,2025-01-30,2025-02-05,6.37,5.73,10.0,End Cap,181.63
PROMO-000103,RTL-AMZ,P00011,Temporary Price Reduction,2025-01-09,2025-01-15,6.37,5.73,10.0,Front of Store,1620.37
PROMO-000104,RTL-AMZ,P00011,Display Only,2025-01-17,2025-01-23,6.37,5.73,10.0,None,918.69
PROMO-000105,RTL-AMZ,P00012,Display Only,2025-02-03,2025-02-16,9.27,7.42,20.0,Digital Banner,2595.87
PROMO-000106,RTL-AMZ,P00012,Temporary Price Reduction,2025-01-05,2025-01-11,9.27,7.42,20.0,None,492.46
PROMO-000107,RTL-AMZ,P00012,Digital Coupon,2025-01-20,2025-02-02,9.27,8.34,10.0,None,3297.85
